f,exp,phase
8251000000.0,91154820.41451511,78339172.5827075
8258000000.0,91169076.5159358,78367909.83531375
8265000000.0,91190736.65173335,78396636.73533727
8272000000.0,91214408.19274873,78425353.25902046
8279000000.0,91241209.50388144,78454059.38273782
8286000000.0,91268671.31523485,78482755.08299519
8293000000.0,91292413.15662816,78511440.33642945
8300000000.0,91317970.10665166,78540115.11980756
8307000000.0,91337910.0690004,78568779.41002612
8314000000.0,91346787.68168716,78597433.18411078
8321000000.0,91352592.45229006,78626076.41921544
8328000000.0,91356565.16388059,78654709.092622
8335000000.0,91355191.52865244,78683331.1817394
8342000000.0,91354992.60777098,78711942.66410322
8349000000.0,91354053.71721554,78740543.51737504
8356000000.0,91355510.1569288,78769133.71934181
8363000000.0,91360349.68709253,78797713.24791543
8370000000.0,91376814.83597806,78826282.08113188
8377000000.0,91395586.58957802,78854840.19715087
8384000000.0,91421219.02354862,78883387.57425521
8391000000.0,91452192.97924307,78911924.19085026
8398000000.0,91487457.49488984,78940450.02546312
8405000000.0,91524286.21655679,78968965.0567424
8412000000.0,91557251.53185208,78997469.26345767
8419000000.0,91587164.52609009,79025962.6244984
8426000000.0,91614618.09416282,79054445.118874
8433000000.0,91636292.99849002,79082916.72571282
8440000000.0,91654436.36766793,79111377.42426197
8447000000.0,91668749.36682343,79139827.19388647
8454000000.0,91680201.32735038,79168266.01406881
8461000000.0,91689692.10649638,79196693.86440842
8468000000.0,91700032.28922758,79225110.72462113
8475000000.0,91712513.18955395,79253516.57453866
8482000000.0,91726686.91662541,79281911.39410794
8489000000.0,91747965.90191112,79310295.16339079
8496000000.0,91774351.1875043,79338667.86256316
8503000000.0,91806066.50571065,79367029.47191481
8510000000.0,91842485.25937527,79395379.97184883
8517000000.0,91878775.13992415,79423719.34288064
8524000000.0,91913309.9689785,79452047.56563811
8531000000.0,91947630.47780475,79480364.62086076
8538000000.0,91978041.99584997,79508670.48939899
8545000000.0,92004328.57771221,79536965.152214
8552000000.0,92025799.88878776,79565248.59037714
8559000000.0,92039132.23150541,79593520.78506924
8566000000.0,92049639.99583995,79621781.71758042
8573000000.0,92054660.4168157,79650031.36930911
8580000000.0,92063532.65282345,79678269.72176206
8587000000.0,92068511.71127856,79706496.75655362
8594000000.0,92076641.94857988,79734712.4554053
8601000000.0,92090516.91398539,79762916.80014499
8608000000.0,92107916.98662157,79791109.77270697
8615000000.0,92127418.2701284,79819291.35513118
8622000000.0,92147971.46779881,79847461.52956259
8629000000.0,92172255.12794068,79875620.27825093
8636000000.0,92199343.49561575,79903767.58355027
8643000000.0,92224423.65482502,79931903.42791814
8650000000.0,92248231.09643294,79960027.7939157
8657000000.0,92269510.10368077,79988140.66420665
8664000000.0,92290168.29421343,80016242.02155715
8671000000.0,92308416.67174242,80044331.84883514
8678000000.0,92323706.65711226,80072410.1290101
8685000000.0,92337677.27315043,80100476.84515233
8692000000.0,92350877.42897207,80128531.98043281
8699000000.0,92365899.12407938,80156575.51812236
8706000000.0,92384728.2315113,80184607.44159143
8713000000.0,92405745.24087186,80212627.7343097
8720000000.0,92432208.98974274,80240636.37984547
8727000000.0,92460259.31524903,80268633.36186527
8734000000.0,92492397.1402238,80296618.66413361
8741000000.0,92524322.76423688,80324592.270512
8748000000.0,92553823.58041161,80352554.16495919
8755000000.0,92582069.2267495,80380504.33153032
8762000000.0,92606905.00146025,80408442.7543765
8769000000.0,92627389.47225897,80436369.41774449
8776000000.0,92645962.47978818,80464284.30597647
8783000000.0,92658430.5231926,80492187.4035089
8790000000.0,92673433.88525867,80520078.69487306
8797000000.0,92685108.59082644,80547958.1646939
8804000000.0,92701488.2587035,80575825.79768984
8811000000.0,92718885.05504422,80603681.57867244
8818000000.0,92735575.69426179,80631525.492546
8825000000.0,92754514.76164843,80659357.5243068
8832000000.0,92775609.19899404,80687177.65904327
8839000000.0,92799784.28446314,80714985.88193502
8846000000.0,92825027.11239922,80742782.17825283
8853000000.0,92849792.50653738,80770566.53335793
8860000000.0,92868966.01913282,80798338.9327018
8867000000.0,92888230.67436758,80826099.36182581
8874000000.0,92906474.46625236,80853847.80636057
8881000000.0,92920843.3837633,80881584.25202596
8888000000.0,92937506.93103664,80909308.68463005
8895000000.0,92952078.58985561,80937021.09006953
8902000000.0,92962920.48675105,80964721.45432864
8909000000.0,92975489.87717007,80992409.7634791
8916000000.0,92987238.84726588,81020086.00367972
8923000000.0,93000899.45218542,81047750.16117603
8930000000.0,93020423.55274862,81075402.22229959
8937000000.0,93041117.71413068,81103042.17346807
8944000000.0,93069692.50387196,81130670.00118457
8951000000.0,93100224.92056425,81158285.69203736
8958000000.0,93129709.49329156,81185889.23269923
8965000000.0,93157515.47383945,81213480.60992777
8972000000.0,93185122.07414131,81241059.81056419
8979000000.0,93210441.0013375,81268626.82153343
8986000000.0,93234443.35365248,81296181.62984389
8993000000.0,93258816.38084728,81323724.2225866
9000000000.0,93281278.96687455,81351254.58693524
