f,exp,phase
6592000000.0,85725583.16200058,71312859.89255176
6599000000.0,85754901.72261511,71342969.91709526
6606000000.0,85784567.43106659,71373081.00884688
6613000000.0,85812482.28280202,71403193.08293481
6620000000.0,85838469.23024313,71433306.05494891
6627000000.0,85864436.10964723,71463419.84093818
6634000000.0,85889620.52061608,71493534.35740772
6641000000.0,85916545.30416709,71523649.52131633
6648000000.0,85943309.54622127,71553765.25007378
6655000000.0,85971396.87371239,71583881.46153799
6662000000.0,86001448.30945204,71613998.07401238
6669000000.0,86033027.13834053,71644115.00624345
6676000000.0,86068275.0280567,71674232.1774179
6683000000.0,86104734.25020042,71704349.50716017
6690000000.0,86140681.83478744,71734466.91553006
6697000000.0,86176939.41613306,71764584.32301964
6704000000.0,86211387.11087103,71794701.65055127
6711000000.0,86243731.82906829,71824818.8194748
6718000000.0,86273591.23113373,71854935.75156502
6725000000.0,86299971.93763801,71885052.36901931
6732000000.0,86324003.97051583,71915168.59445518
6739000000.0,86343615.82195313,71945284.35090762
6746000000.0,86362017.11493915,71975399.56182691
6753000000.0,86380255.52716465,72005514.1510761
6760000000.0,86398274.34397824,72035628.04292855
6767000000.0,86417914.3119681,72065741.16206548
6774000000.0,86438061.86989632,72095853.43357402
6781000000.0,86460182.96984294,72125964.78294437
6788000000.0,86483956.31814879,72156075.13606757
6795000000.0,86509000.76237088,72186184.4192334
6802000000.0,86532802.59522939,72216292.55912791
6809000000.0,86558346.39273436,72246399.48283114
6816000000.0,86580296.23844977,72276505.11781494
6823000000.0,86599380.95046282,72306609.39194052
6830000000.0,86615009.59515822,72336712.23345642
6837000000.0,86629439.7621606,72366813.57099621
6844000000.0,86641465.1991094,72396913.33357632
6851000000.0,86652611.28680405,72427011.4505936
6858000000.0,86662049.0531005,72457107.85182363
6865000000.0,86673715.85396734,72487202.46741802
6872000000.0,86687315.10839832,72517295.22790258
6879000000.0,86704525.4933096,72547386.06417528
6886000000.0,86728555.22383428,72577474.90750368
